game_index,ai_color,result,plies,sf_depth,ai_depth,ai_nodes,ai_time_ms,ai_nps,tt_probes,tt_hits,tt_hit_rate,tt_stores,beta_cutoffs,first_move_cutoffs,avg_branch,killer_uses,history_uses,ai_moves,sf_time_ms,game_wall_ms,did_castle,did_en_passant,did_promotion
1,white,ai,41,3,3,4253,40425.3,105,4253,3,0.1,4248,3123,2359,34.36,115,116,21,29.5,40470.5,TRUE,FALSE,FALSE
2,black,Draw (Three-Fold Repetetion),52,3,3,7443,74654.6,100,7443,2,0,7438,5330,4029,35.4,128,133,26,18.2,74694.9,TRUE,FALSE,FALSE
3,white,stockfish,66,3,3,7951,65516.8,121,7951,2,0,7942,5441,4198,32.32,582,588,33,28.2,65569.8,TRUE,FALSE,FALSE
4,black,stockfish,103,3,3,9577,76729.3,125,9577,17,0.2,9556,7188,6067,27.9,1089,1119,51,35.9,76805.6,TRUE,FALSE,TRUE
5,white,Draw (Three-Fold Repetetion),114,3,3,10995,75856.1,145,10995,8,0.1,10966,8211,6130,26.59,892,902,57,34.1,75928.4,TRUE,TRUE,FALSE
6,black,stockfish,85,3,3,8691,64370.7,135,8691,10,0.1,8665,6843,5995,25.83,1254,1269,42,30.4,64433.4,FALSE,FALSE,FALSE
7,white,Draw (Three-Fold Repetetion),136,3,3,8993,77385.7,116,8993,3,0,8984,6648,5484,22.2,879,883,68,47,77489.1,FALSE,FALSE,FALSE
8,black,Draw (Three-Fold Repetetion),100,3,3,8332,63777.1,131,8332,1,0,8327,6199,5394,26.43,689,690,50,32,63847.8,TRUE,FALSE,FALSE
9,white,Draw (Three-Fold Repetetion),84,3,3,6676,52105.5,128,6676,8,0.1,6651,4927,3879,27.09,594,596,42,30,52166.4,TRUE,FALSE,FALSE
10,black,stockfish,77,3,3,6817,50257.6,136,6817,4,0.1,6799,4912,3567,32.33,395,399,38,25.6,50309.2,FALSE,FALSE,TRUE
11,white,stockfish,92,3,3,6827,50362,136,6827,9,0.1,6775,4939,3964,25.91,338,341,46,31.1,50430.1,FALSE,FALSE,TRUE
12,black,Draw (Three-Fold Repetetion),132,3,3,13539,120101,113,13539,7,0.1,13502,10093,7937,28.8,614,618,66,51.8,120208.2,FALSE,FALSE,FALSE
13,white,stockfish,66,3,3,8714,84179.8,104,8714,1,0,8687,6804,5186,38.09,344,347,33,26.8,84235.7,TRUE,FALSE,FALSE
14,black,Draw (Three-Fold Repetetion),101,3,3,8049,77348.8,104,8049,0,0,8038,6027,4518,30.6,917,928,50,40.8,77430.9,FALSE,FALSE,FALSE
15,white,stockfish,78,3,3,8662,81460.2,106,8662,0,0,8660,6573,5090,33.34,458,473,39,29.5,81523.7,FALSE,FALSE,FALSE
16,black,Draw (Three-Fold Repetetion),95,3,3,9532,74688,128,9532,23,0.2,9505,7397,6076,30.63,200,200,47,33.7,74755.9,TRUE,FALSE,FALSE
17,white,stockfish,48,3,3,4785,44755,107,4785,0,0,4779,3446,2725,39.54,173,177,24,18.1,44791.8,TRUE,FALSE,FALSE
18,black,Draw (Three-Fold Repetetion),221,3,3,15090,113848.7,133,15090,15,0.1,14968,10919,8490,25.76,2168,2226,110,90.2,114024.7,FALSE,FALSE,TRUE
19,white,stockfish,112,3,3,8096,68907.4,117,8096,0,0,8077,6105,4765,23.86,1476,1517,56,38.1,68986.8,TRUE,TRUE,TRUE
20,black,stockfish,109,3,3,8716,69916.8,125,8716,6,0.1,8539,6549,4753,25.37,1482,1501,54,37.4,69997.1,TRUE,FALSE,TRUE
21,white,stockfish,172,3,3,15310,122662.7,125,15310,1,0,15274,11703,8867,26.49,1326,1384,86,69.8,122802.8,FALSE,FALSE,TRUE
22,black,stockfish,65,3,3,6758,70005.3,97,6758,2,0,6742,4831,3138,39.27,185,185,32,24.7,70056.2,TRUE,FALSE,FALSE
23,white,Draw (Three-Fold Repetetion),72,3,3,5791,53052.4,109,5791,0,0,5786,4216,3249,30.19,689,692,36,23.3,53105.9,FALSE,FALSE,FALSE
24,black,Draw (Three-Fold Repetetion),83,3,3,9373,73625,127,9373,5,0.1,9362,7308,5623,29.79,322,322,41,27.2,73684,TRUE,FALSE,FALSE
25,white,stockfish,112,3,3,7709,60801.6,127,7709,3,0,7666,5828,4249,19.9,1746,1768,56,47.3,60896.1,TRUE,FALSE,TRUE
26,black,Draw (Three-Fold Repetetion),86,3,3,8193,74278.5,110,8193,0,0,8175,6346,4160,33.18,694,704,43,32.2,74342.5,TRUE,FALSE,FALSE
